latitude,longitude,hour,severity,incident_type,risk_label
19.10386723606633,72.8500462015334,6,3,stalking,1
18.923460232564207,72.97519517088008,19,3,assault,0
19.04754367536852,72.87820886352574,14,3,poor_lighting,0
19.050310513554546,72.89139569361853,10,1,stalking,0
19.253399134267095,72.99993275669902,7,2,assault,0
19.042434745049317,72.96395968221499,20,2,assault,0
19.089737057961102,72.85320710132778,6,3,assault,1
19.083300559711642,72.77237948718872,18,1,harassment,0
19.12470468681773,72.91402003697259,22,1,harassment,0
19.169293132532758,72.93190008800947,10,3,stalking,0
18.96001675046835,72.91968461873297,10,1,poor_lighting,0
19.081489767639376,72.99260834076753,23,2,stalking,0
19.200367082926412,72.9684833362864,20,1,unsafe_area,0
19.055245885535005,72.87323128943154,3,1,unsafe_area,0
18.98138301854943,72.78445722211865,7,2,poor_lighting,0
19.131883630142518,72.87949351698546,23,1,poor_lighting,0
19.19950695831965,72.92852612459126,2,2,poor_lighting,0
18.89525611717096,72.9097732558922,21,1,harassment,0
19.18071619336289,72.8937715255735,20,1,harassment,0
19.19865917318471,72.8778283603435,1,1,unsafe_area,0
19.054609171035445,72.8375652307963,23,2,poor_lighting,1
19.263322262727385,72.83378975519666,11,1,assault,0
19.184683336282923,72.88505324015293,5,2,unsafe_area,0
19.179465025958265,72.80693872367881,1,2,poor_lighting,0
19.16913542976483,72.8483576474222,20,2,assault,0
18.93024324128731,72.84451523318332,0,2,poor_lighting,0
18.956892354581203,72.90504054436437,11,1,stalking,0
19.05559605258577,72.78533692908348,21,1,assault,0
18.975601739983787,72.96082379646097,11,2,stalking,0
19.03609638893362,72.89934702748842,16,1,harassment,0
19.22538564396917,72.92429013657846,9,3,unsafe_area,0
19.19973075675171,72.93171159786466,15,2,poor_lighting,0
19.122015951391994,72.83704135147379,14,1,unsafe_area,0
19.21324815770044,72.87818546049851,14,2,poor_lighting,0
19.1835089556069,72.98993656985002,18,3,stalking,0
19.041593972736358,72.94634220473927,11,1,assault,0
18.95042606081998,72.99299808130134,22,2,assault,0
19.075680416003735,72.94163849938364,19,1,poor_lighting,0
19.16449155301142,72.81038803213296,2,2,stalking,0
19.044567839491837,72.78484325328427,4,3,poor_lighting,1
19.13670876391356,72.90286213044553,18,2,poor_lighting,0
18.90773097051642,72.8522970543316,6,2,poor_lighting,0
19.16920189454856,72.83335531933177,20,3,assault,1
19.195085447957226,72.95565852917784,8,2,poor_lighting,0
19.152735142312217,72.85440845142884,6,2,assault,0
19.256905435010545,72.84291022303888,17,2,harassment,0
19.200660822984258,72.96549714642887,3,2,stalking,0
19.231237491150615,72.96464608739188,13,2,harassment,0
19.24342843338306,72.85196432668366,17,3,poor_lighting,0
19.190539196749523,72.96147470122678,8,2,assault,0
19.1397035368026,72.96567905277651,20,2,stalking,0
18.872287432544315,72.86750402305682,1,1,unsafe_area,0
19.05633030128925,72.78528881994811,19,2,stalking,0
19.098464919448944,72.77036446822726,14,2,stalking,0
18.9916121089792,72.89035726646446,6,2,poor_lighting,0
18.99724177876139,72.84913736347518,11,1,harassment,0
19.254463766284065,72.99934033565643,7,3,harassment,0
19.226684346081097,72.94765452991427,14,1,unsafe_area,0
19.209671602200682,72.94509335496059,2,1,poor_lighting,0
19.032404720682443,72.9897058367061,13,2,stalking,0
18.87547942016357,72.97417661151546,16,2,harassment,0
18.902088898582285,72.84318312027497,3,1,harassment,0
18.99487854728704,72.80817706096889,17,2,assault,0
18.87629716519827,72.94155522096506,7,1,stalking,0
18.87685991276608,72.85700299554706,3,1,poor_lighting,0
19.236641320656965,72.87882970987512,1,1,harassment,0
19.152463400847623,72.91499147819322,5,3,poor_lighting,1
18.99358239602726,72.9788107156951,21,1,stalking,0
18.92305783104038,72.86639018334432,9,1,stalking,0
19.07465428715803,72.95016288475045,3,2,harassment,0
18.872138464341745,72.83171815199317,21,1,unsafe_area,0
19.245365497543258,72.93053351191243,17,2,poor_lighting,0
19.03592604775558,72.77036326684791,11,3,poor_lighting,0
19.030933982094933,72.97044665910285,1,2,assault,0
19.026237443032713,72.77698730338952,9,1,stalking,0
18.897731332155107,72.93393336359539,3,2,stalking,0
19.12532889591673,72.78063938353009,13,2,harassment,0
19.163201447851343,72.83123651086062,15,1,harassment,0
19.140450159035318,72.884356552818,14,1,harassment,0
18.92537419733176,72.86658589763009,7,1,assault,0
19.101536067214237,72.81412230635823,13,1,unsafe_area,0
19.097793793668902,72.84677742969312,22,3,harassment,1
19.217364315176553,72.93737246511402,7,2,harassment,0
19.02165106335026,72.92392913129332,20,1,harassment,0
19.018594377463774,72.7865173542657,15,1,assault,0
19.117410823487273,72.94188263988177,12,3,poor_lighting,0
19.123229061399805,72.7822005526753,17,1,unsafe_area,0
19.057714090930318,72.89487306949295,14,2,poor_lighting,0
19.047223744932168,72.8298144320497,20,1,stalking,0
19.067659068255153,72.90516872933875,23,3,stalking,1
19.214418119801323,72.83010553106641,12,2,harassment,0
19.054466760501565,72.99654033301394,8,1,poor_lighting,0
19.24597271678793,72.84123748225733,14,1,assault,0
19.07160150543853,72.82565094620513,12,2,unsafe_area,0
19.249680277272358,72.83404701691053,0,3,poor_lighting,1
19.20313276074763,72.97618875716964,6,1,poor_lighting,0
19.014972529046332,72.91633033059395,8,2,unsafe_area,0
19.215456568518647,72.93805734240678,23,1,poor_lighting,0
18.914025313680447,72.9811424173217,0,3,poor_lighting,1
19.240018870137206,72.97973067151435,11,2,unsafe_area,0
19.122657406033156,72.93995754471311,7,1,assault,0
18.891756299408925,72.8154996186335,23,1,unsafe_area,0
19.127702689460325,72.96397586375525,10,1,harassment,0
19.2596990616579,72.81686848786394,18,2,harassment,0
18.89792026184585,72.94086672724264,16,1,harassment,0
19.091875083912036,72.92768870530531,7,1,harassment,0
19.169117739903747,72.94454443553231,2,3,stalking,1
19.194103434679814,72.89251770656418,2,1,assault,0
19.035530986128318,72.91690702191732,0,2,stalking,0
18.951666623667297,72.98926361849988,4,1,poor_lighting,0
18.886936911508954,72.79325037666007,9,1,poor_lighting,0
19.10189046283889,72.84103487319977,6,1,unsafe_area,0
19.051164428107043,72.91061211301263,8,2,harassment,0
19.249497758059885,72.99173244993024,6,2,unsafe_area,0
18.894241963085964,72.7919821229624,8,3,poor_lighting,0
19.1441581373784,72.77518632095192,7,1,harassment,0
18.879986488848022,72.78282240764817,11,1,assault,0
18.938573670684217,72.78205330788607,1,3,poor_lighting,1
19.051431599969135,72.9787976472888,0,1,unsafe_area,0
19.051948977121146,72.93588931882478,15,1,unsafe_area,0
19.144280217173456,72.92573446422514,22,1,poor_lighting,0
19.234085213947104,72.89019174866021,22,2,stalking,0
19.12561286356597,72.9498491019036,23,2,assault,0
19.251414039140602,72.80579903833517,4,1,poor_lighting,0
19.222646255951197,72.86014647365134,2,1,poor_lighting,0
19.103799918212317,72.8827009776758,11,2,unsafe_area,0
19.20351678036753,72.79539418446565,7,3,harassment,0
19.127031044129453,72.86648815314763,21,1,harassment,0
18.90142313236949,72.8427954092304,2,3,harassment,1
19.166225889303803,72.77818389353249,0,1,unsafe_area,0
18.907963376506938,72.80144914262772,2,1,harassment,0
19.107633112227884,72.94572846932851,4,1,poor_lighting,0
19.151056082343292,72.77414871918606,14,1,stalking,0
18.89661104328434,72.98487825879216,13,1,stalking,0
18.962317861570614,72.78987766546287,2,3,stalking,1
19.23626889290466,72.9538247616668,0,1,harassment,0
19.116525796893157,72.976681804417,4,1,stalking,0
18.968514407524214,72.9864611845156,22,1,harassment,0
19.1462719084592,72.96951971540408,13,2,poor_lighting,0
19.108710567984676,72.83613650906786,6,3,poor_lighting,1
19.07063027996718,72.84661004020785,8,1,unsafe_area,0
19.260474789995232,72.86810551068031,14,1,unsafe_area,0
19.143381510963003,72.80203823856363,14,1,assault,0
19.020176443867165,72.77512266466546,9,1,poor_lighting,0
19.190029372830747,72.96989797128464,12,1,harassment,0
19.223833317168474,72.89744960472841,18,2,assault,0
18.920088223806733,72.91000627670098,6,2,poor_lighting,0
18.95022119113811,72.98320734920809,16,2,harassment,0
18.956490803651114,72.92297764096612,19,1,poor_lighting,0
19.146484723754615,72.92889630599815,3,1,poor_lighting,0
19.111215822021315,72.95100278914045,4,2,harassment,0
19.117596625879436,72.7967601434672,22,2,poor_lighting,0
19.2463093198758,72.85283729523917,6,1,poor_lighting,0
19.180364613122922,72.99268782337177,12,2,poor_lighting,0
18.921174769804715,72.98227391796314,14,1,unsafe_area,0
19.009002832970072,72.97333731815134,10,1,stalking,0
19.044157458470295,72.87398035737796,3,1,poor_lighting,0
